lang,date,count
pt,2024-08-06 23:18:24+00:00,9
pt,2024-08-07 01:01:17+00:00,10
pt,2024-08-07 15:49:01+00:00,11
pt,2024-08-08 17:17:55+00:00,12
pt,2024-08-11 19:12:28+00:00,13
pt,2024-08-13 23:43:55+00:00,14
pt,2024-08-15 22:38:09+00:00,15
pt,2024-08-19 23:13:05+00:00,16
pt,2024-08-22 13:06:25+00:00,17
pt,2024-08-22 23:19:36+00:00,18
pt,2024-08-24 19:10:15+00:00,19
pt,2024-08-29 11:15:25+00:00,20
pt,2024-08-29 16:09:07+00:00,21
pt,2024-09-01 21:31:29+00:00,22
pt,2024-09-02 23:15:40+00:00,23
pt,2024-09-03 21:02:34+00:00,24
pt,2024-09-03 22:57:46+00:00,25
pt,2024-09-08 15:04:35+00:00,26
pt,2024-09-11 11:47:38+00:00,27
pt,2024-09-13 00:31:49+00:00,28
pt,2024-09-13 17:16:13+00:00,29
pt,2024-09-14 14:17:56+00:00,30
pt,2024-09-30 16:01:09+00:00,31
pt,2024-10-01 23:38:36+00:00,32
pt,2024-10-04 21:01:17+00:00,33
pt,2024-10-08 12:36:05+00:00,34
pt,2024-10-10 17:15:29+00:00,35
pt,2024-10-11 22:27:23+00:00,36
pt,2024-10-12 11:22:10+00:00,37
pt,2024-10-15 16:01:06+00:00,38
pt,2024-10-16 00:03:58+00:00,39
pt,2024-10-17 13:17:06+00:00,40
pt,2024-10-21 15:09:39+00:00,41
pt,2024-11-06 00:48:44+00:00,42
pt,2024-11-07 23:00:37+00:00,43
pt,2024-11-12 13:32:47+00:00,44
pt,2024-11-12 22:52:56+00:00,45
pt,2024-11-13 11:49:02+00:00,46
pt,2024-11-13 13:02:24+00:00,47
pt,2024-11-15 14:39:57+00:00,48
pt,2024-11-23 11:54:53+00:00,49
pt,2024-11-26 08:08:53+00:00,50
pt,2024-11-27 14:46:20+00:00,51
pt,2024-12-11 23:29:32+00:00,52
pt,2024-12-17 11:48:53+00:00,53
pt,2024-12-28 00:11:48+00:00,54
